Ligand Type,ROC-AUC Score,Average Precision,F1-score,MCC,Precision,Recall,Method
PO4,0.5828228442061699,0.08261929487336964,0.23920265780730893,0.25402436622489843,0.4036697247706422,0.16995708154506436,M-Ionic (ESM2 + ESM-MSA-1b)
SO4,0.5719258013568778,0.09507664165551082,0.22853368560105683,0.26556201532947893,0.5103244837758112,0.1472340425531915,M-Ionic (ESM2 + ESM-MSA-1b)
ZN,0.959324254096534,0.7326995688719005,0.8523667520685455,0.8513471634357195,0.7907574812967582,0.9243873553794297,M-Ionic (ESM2 + ESM-MSA-1b)
CA,0.7677835420749239,0.42948442884550364,0.6370303846729531,0.6417656946273834,0.7789165446559297,0.7298078312382603,LMetalSite
MG,0.6601306715281188,0.24404272140115216,0.4481116025859136,0.4848731797684633,0.7403035413153457,0.3771626297577855,LMetalSite
MN,0.8585881941629063,0.5656200978473386,0.7492625368731564,0.7470828438555862,0.7815384615384615,0.90311986863711,LMetalSite
ZN,0.942446916760787,0.7774250837314938,0.8800860719874803,0.8770049299133191,0.8720682302771855,0.5888111888111888,LMetalSite
,,,,,,0.8738461538461538,LMetalSite
,,,,,,0.49406115744250695,LMetalSite
,,,,,,0.6923076923076923,LMetalSite
,,,,,,0.20858369098712445,LMetalSite
,,,,,,0.15404255319148935,LMetalSite
,,,,,,0.9172815887765328,LMetalSite
